Date,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM,Total,,,
9/3/2004,0,0,0,0,0,,,
10/3/2004,0,0,0,0,0,,,
11/3/2004,0,0,0,0,0,,,
12/3/2004,0,0,0,0,0,,,
13-03-2004,0,0,0,0,0,,,
14-03-2004,0,0,0,0,0,,,
15-03-2004,0,0,0,0,0,,,
16-03-2004,0,0,0,0,0,,,
17-03-2004,0,0,0,0,0,,,
18-03-2004,0,0,0,0,0,,,
19-03-2004,0,0,0,0,0,,,
20-03-2004,0,0,0,0,0,,,
21-03-2004,0,0,0,0,0,,,
22-03-2004,0,0,0,0,0,,,
23-03-2004,0,0,0,0,0,,,
24-03-2004,0,0,0,0,0,,,
25-03-2004,0,0,0,0,0,,,
26-03-2004,0,0,0,0,0,,,
27-03-2004,0,0,0,0,0,,,
28-03-2004,0,0,0,0,0,,,
29-03-2004,0,0,0,0,0,,,
30-03-2004,0,0,0,0,0,,,
31-03-2004,0,0,0,0,0,,,
1/4/2004,0,0,0,0,0,,,
2/4/2004,0,0,0,0,0,,,
3/4/2004,0,0,0,0,0,,,
4/4/2004,0,0,0,0,0,,,
5/4/2004,0,0,0,0,0,,,
6/4/2004,0,0,0,0,0,,,
7/4/2004,20,0,0,5,25,,,
8/4/2004,0,0,0,0,0,,,
9/4/2004,0,0,0,0,0,,,
10/4/2004,0,0,0,0,0,,,
11/4/2004,0,0,0,0,0,,,
12/4/2004,0,0,0,0,0,,,
13-04-2004,0,0,0,0,0,,,
14-04-2004,0,0,0,0,0,,,
15-04-2004,0,0,0,0,0,,,
16-04-2004,0,0,0,0,0,,,
17-04-2004,0,0,0,0,0,,,
18-04-2004,0,0,0,0,0,,,
19-04-2004,1,0,0,0,1,,,
20-04-2004,0,0,0,0,0,,,
21-04-2004,0,0,0,0,0,,,
22-04-2004,0,0,0,0,0,,,
23-04-2004,0,0,0,0,0,,,
24-04-2004,0,0,0,0,0,,,
25-04-2004,0,0,0,0,0,,,
26-04-2004,0,0,0,0,0,,,
27-04-2004,0,0,0,0,0,,,
28-04-2004,0,0,0,0,0,,,
29-04-2004,0,0,0,0,0,,,
30-04-2004,0,0,0,0,0,,,
1/5/2004,0,0,0,0,0,,,
2/5/2004,0,0,0,0,0,,,
3/5/2004,21,27,27,50,125,,,
4/5/2004,91,46,61,45,243,,,
5/5/2004,30,32,40,33,135,,,
6/5/2004,15,29,22,21,87,,,
7/5/2004,9,19,20,11,59,,,
8/5/2004,0,8,4.5,2,14.5,,,
9/5/2004,4,0,0,0,4,,,
10/5/2004,0,0,0,0,0,,,
11/5/2004,0,0,0,0,0,,,
12/5/2004,0,0,0,0,0,,,
13-05-2004,0,0,0,0,0,,,
14-05-2004,0,0,0,0,0,,,
15-05-2004,0,0,0,0,0,,,
16-05-2004,0,0,0,0,0,,,
17-05-2004,45,36,58,45,184,,,
18-05-2004,0,9,3.5,0,12.5,,,
19-05-2004,0,0,0,0,0,,,
20-05-2004,0,0,0,0,0,,,
21-05-2004,0,0,0,0,0,,,
22-05-2004,0,0,0,0,0,,,
23-05-2004,2,0,0,0,2,,,
24-05-2004,3,3,7,8,21,,,
25-05-2004,0,9,2,0,11,,,
26-05-2004,0,0,0,0,0,,,
27-05-2004,0,0,0,0,0,,,
28-05-2004,0,0,0,0,0,,,
29-05-2004,0,0,0,0,0,,,
30-05-2004,3,0,0,0,3,,,
31-05-2004,0,0,0,5,5,,,
1/6/2004,5,22,0,2,29,,,
2/6/2004,9,0,0,0,9,,,
3/6/2004,4,0,0,0,4,,,
4/6/2004,0,0,0,0,0,,,
5/6/2004,2,0,0,3,5,,,
6/6/2004,0,0,0,0,0,,,
7/6/2004,0,0,0,0,0,,,
8/6/2004,5,7,7,4,23,,,
9/6/2004,19,11,13,6,49,,,
10/6/2004,2,3,2,0,7,,,
11/6/2004,6,9,5,3,23,,,
12/6/2004,0,0,0,0,0,,,
13-06-2004,0,0,0,0,0,,,
14-06-2004,0,0,0,0,0,,,
15-06-2004,0,0,0,0,0,,,
16-06-2004,0,0,0,0,0,,,
17-06-2004,0,0,0,0,0,,,
18-06-2004,0,0,0,0,0,,,
19-06-2004,0,0,0,0,0,,,
20-06-2004,0,0,0,0,0,,,
21-06-2004,0,0,0,0,0,,,
22-06-2004,0,0,0,0,0,,,
23-06-2004,0,0,0,0,0,,,
24-06-2004,0,0,0,0,0,,,
25-06-2004,0,0,0,0,0,,,
26-06-2004,0,0,0,0,0,,,
27-06-2004,0,0,0,0,0,,,
28-06-2004,0,0,0,0,0,,,
29-06-2004,1,0,18,4,23,,,
30-06-2004,0,0,0,0,0,,,
1/7/2004,0,0,0,0,0,,,
2/7/2004,0,0,0,0,0,,,
3/7/2004,0,4,3.4,0,7.4,,,
4/7/2004,4,0,0,4,8,,,
5/7/2004,0,0,0,0,0,,,
6/7/2004,3,0,0,0,3,,,
7/7/2004,0,0,0,0,0,,,
8/7/2004,0,0,0,0,0,,,
9/7/2004,0,0,0,0,0,,,
10/7/2004,0,0,0,0,0,,,
11/7/2004,2,38,6,0,46,,,
12/7/2004,0,0,0,13,13,,,
13-07-2004,0,3,0,0,3,,,
14-07-2004,0,0,0,0,0,,,
15-07-2004,0,0,0,0,0,,,
16-07-2004,0,0,0,0,0,,,
17-07-2004,0,0,0,0,0,,,
18-07-2004,0,0,0,0,0,,,
19-07-2004,0,0,0,0,0,,,
20-07-2004,0,0,0,0,0,,,
21-07-2004,0,0,0,0,0,,,
22-07-2004,0,0,0,0,0,,,
23-07-2004,0,0,0,0,0,,,
24-07-2004,0,0,0,0,0,,,
25-07-2004,0,0,0,0,0,,,
26-07-2004,16,13,4,0,33,,,
27-07-2004,0,0,0,0,0,,,
28-07-2004,0,0,0,0,0,,,
29-07-2004,7,12,5,2,26,,,
30-07-2004,10,9,11,4,34,,,
31-07-2004,0,0,2,7,9,,,
1/8/2004,1,4,2,2,9,,,
2/8/2004,0,0,0,0,0,,,
3/8/2004,0,0,0,0,0,,,
4/8/2004,1,13,7,0,21,,,
5/8/2004,0,0,0,0,0,,,
6/8/2004,9,8,0,0,17,,,
7/8/2004,0,0,0,0,0,,,
8/8/2004,0,0,0,0,0,,,
9/8/2004,5,16,12,2,35,,,
10/8/2004,0,0,0,0,0,,,
11/8/2004,0,7,0,0,7,,,
12/8/2004,0,0,0,0,0,,,
13-08-2004,2,0,0,0,2,,,
14-08-2004,3,5,3,0,11,,,
15-08-2004,0,0,0,0,0,,,
16-08-2004,4,0,0,0,4,,,
17-08-2004,0,0,0,0,0,,,
18-08-2004,0,0,0,0,0,,,
19-08-2004,1,0,0,0,1,,,
20-08-2004,0,0,0,0,0,,,
21-08-2004,0,0,0,0,0,,,
22-08-2004,0,0,0,0,0,,,
23-08-2004,0,0,0,0,0,,,
24-08-2004,0,0,0,5,5,,,
25-08-2004,0,0,0,0,0,,,
26-08-2004,0,0,2,0,2,,,
27-08-2004,0,0,0,0,0,,,
28-08-2004,0,0,0,0,0,,,
29-08-2004,0,0,0,0,0,,,
30-08-2004,0,0,0,0,0,,,
31-08-2004,2,3,0,0,5,,,
1/9/2004,0,0,2,0,2,,,
2/9/2004,0,0,2,0,2,,,
3/9/2004,0,3,0,0,3,,,
4/9/2004,0,0,0,0,0,,,
5/9/2004,27,2,1,0,30,,,
6/9/2004,21,7,0,2,30,,,
7/9/2004,0,0,0,0,0,,,
8/9/2004,10,14,2,2,28,,,
9/9/2004,0,0,0,0,0,,,
10/9/2004,39,36,26,15,116,,,
11/9/2004,0,0,0,4,4,,,
12/9/2004,0,0,0,2,2,,,
13-09-2004,0,0,0,0,0,,,
14-09-2004,0,0,0,13,13,,,
15-09-2004,0,3,0,0,3,,,
16-09-2004,0,7,5,15,27,,,
17-09-2004,2,0,0,0,2,,,
18-09-2004,0,0,0,0,0,,,
19-09-2004,0,0,0,0,0,,,
20-09-2004,24,19,90,30,163,,,
21-09-2004,29,11,11,3,54,,,
22-09-2004,0,7,3,0,10,,,
23-09-2004,2,13,2,4,21,,,
24-09-2004,15,17,16,5,53,,,
25-09-2004,2,0,5,2,9,,,
26-09-2004,3,0,0,0,3,,,
27-09-2004,0,3,8,6,17,,,
28-09-2004,6,9,27,13,55,,,
29-09-2004,0,6,5,12,23,,,
30-09-2004,22,0,8,0,30,,,
1/10/2004,0,0,0,0,0,,,
2/10/2004,0,0,0,0,0,,,
3/10/2004,9,14,4,17,44,,,
4/10/2004,4,0,3,0,7,,,
5/10/2004,0,0,0,0,0,,,
6/10/2004,0,0,0,0,0,,,
7/10/2004,0,0,0,0,0,,,
8/10/2004,0,0,0,0,0,,,
9/10/2004,0,0,0,0,0,,,
10/10/2004,0,0,0,0,0,,,
11/10/2004,28,0,0,1,29,,,
12/10/2004,0,0,0,0,0,,,
13-10-2004,0,14,2,0,16,,,
14-10-2004,0,9,3,0,12,,,
15-10-2004,0,0,0,0,0,,,
16-10-2004,0,0,0,0,0,,,
17-10-2004,0,24,15,2,41,,,
18-10-2004,31,8,32,54,125,,,
19-10-2004,13,38,24,27,102,,,
20-10-2004,1,16,3,12,32,,,
21-10-2004,0,11,5,0,16,,,
22-10-2004,3,13,3,0,19,,,
23-10-2004,5,7,13,2,27,,,
24-10-2004,10,21,25,15,71,,,
25-10-2004,0,0,2,10,12,,,
26-10-2004,4,0,1,6,11,,,
27-10-2004,17,7,9,2,35,,,
28-10-2004,5,11,6,8,30,,,
29-10-2004,18,23,21,43,105,,,
30-10-2004,41,29,67,62,199,,,
31-10-2004,65,47,17,19,148,,,
1/11/2004,0,13,5,7,25,,,
2/11/2004,0,0,1,0,1,,,
3/11/2004,0,0,2,0,2,,,
4/11/2004,0,0,0,0,0,,,
5/11/2004,0,2,0,2,4,,,
6/11/2004,62,91,129,71,353,,,
7/11/2004,11,47,62,45,165,,,
8/11/2004,17,39,12,16,84,,,
9/11/2004,2,4,7,0,13,,,
10/11/2004,0,0,0,0,0,,,
11/11/2004,0,0,0,4,4,,,
12/11/2004,10,0,0,2,12,,,
13-11-2004,34,103,69,70,276,,,
14-11-2004,0,0,0,4,4,,,
15-11-2004,0,0,0,0,0,,,
16-11-2004,0,0,0,0,0,,,
17-11-2004,0,0,0,0,0,,,
18-11-2004,0,0,0,0,0,,,
19-11-2004,0,0,0,0,0,,,
20-11-2004,0,0,0,0,0,,,
21-11-2004,0,0,0,0,0,,,
22-11-2004,0,0,0,0,0,,,
23-11-2004,0,0,0,0,0,,,
24-11-2004,0,0,0,0,0,,,
25-11-2004,0,0,0,0,0,,,
26-11-2004,23,11,3,12,49,,,
27-11-2004,42,46,32,2,122,,,
28-11-2004,7,4,0,0,11,,,
29-11-2004,0,0,0,0,0,,,
30-11-2004,0,0,0,0,0,,,
1/12/2004,0,0,0,0,0,,,
2/12/2004,0,0,0,0,0,,,
3/12/2004,0,0,0,0,0,,,
4/12/2004,0,0,0,0,0,,,
5/12/2004,0,0,0,0,0,,,
6/12/2004,0,0,0,0,0,,,
7/12/2004,0,0,0,0,0,,,
8/12/2004,0,0,0,0,0,,,
9/12/2004,4,9,2,2,17,,,
10/12/2004,0,0,0,0,0,,,
11/12/2004,0,0,0,0,0,,,
12/12/2004,0,0,0,0,0,,,
13-12-2004,0,0,0,0,0,,,
14-12-2004,0,0,0,0,0,,,
15-12-2004,0,0,0,0,0,,,
16-12-2004,0,0,0,0,0,,,
17-12-2004,0,0,0,0,0,,,
18-12-2004,0,0,0,0,0,,,
19-12-2004,0,0,0,0,0,,,
20-12-2004,0,0,0,0,0,,,
21-12-2004,0,0,0,0,0,,,
22-12-2004,0,0,0,0,0,,,
23-12-2004,0,0,0,0,0,,,
24-12-2004,0,0,0,0,0,,,
25-12-2004,0,0,0,0,0,,,
26-12-2004,0,0,0,0,0,,,
27-12-2004,0,0,0,0,0,,,
28-12-2004,0,0,0,0,0,,,
29-12-2004,0,0,0,0,0,,,
30-12-2004,0,0,0,0,0,,,
31-12-2004,0,0,0,0,0,,,
1/1/2005,0,0,0,0,0,,,
2/1/2005,0,0,0,0,0,,,
3/1/2005,0,0,0,0,0,,,
4/1/2005,0,0,0,0,0,,,
5/1/2005,0,0,0,0,0,,,
6/1/2005,0,0,0,0,0,,,
7/1/2005,0,0,0,0,0,,,
8/1/2005,0,0,0,0,0,,,
9/1/2005,0,0,0,0,0,,,
10/1/2005,0,0,0,0,0,,,
11/1/2005,0,0,0,0,0,,,
12/1/2005,0,0,0,0,0,,,
13-01-2005,0,0,0,0,0,,,
14-01-2005,0,0,0,0,0,,,
15-01-2005,0,0,0,0,0,,,
16-01-2005,0,0,0,0,0,,,
17-01-2005,0,0,0,0,0,,,
18-01-2005,0,0,0,0,0,,,
19-01-2005,0,0,0,0,0,,,
20-01-2005,0,0,0,0,0,,,
21-01-2005,0,0,0,0,0,,,
22-01-2005,0,0,0,0,0,,,
23-01-2005,0,0,0,0,0,,,
24-01-2005,0,0,0,0,0,,,
25-01-2005,0,0,0,0,0,,,
26-01-2005,0,0,0,0,0,,,
27-01-2005,0,0,0,0,0,,,
28-01-2005,0,0,0,0,0,,,
29-01-2005,0,0,0,0,0,,,
30-01-2005,0,0,0,0,0,,,
31-01-2005,0,0,0,0,0,,,
1/2/2005,0,0,0,0,0,,,
2/2/2005,0,0,0,0,0,,,
3/2/2005,0,0,0,0,0,,,
4/2/2005,0,0,0,0,0,,,
5/2/2005,0,0,0,0,0,,,
6/2/2005,0,0,0,0,0,,,
7/2/2005,0,0,0,0,0,,,
8/2/2005,0,0,0,0,0,,,
9/2/2005,0,0,0,0,0,,,
10/2/2005,0,0,0,0,0,,,
11/2/2005,0,0,0,0,0,,,
12/2/2005,0,0,0,0,0,,,
13-02-2005,0,0,0,0,0,,,
14-02-2005,0,0,0,0,0,,,
15-02-2005,0,0,0,0,0,,,
16-02-2005,0,0,0,0,0,,,
17-02-2005,0,0,0,0,0,,,
18-02-2005,0,0,0,0,0,,,
19-02-2005,0,0,0,0,0,,,
20-02-2005,0,0,0,0,0,,,
21-02-2005,0,0,0,0,0,,,
22-02-2005,0,0,0,0,0,,,
23-02-2005,0,0,0,0,0,,,
24-02-2005,0,0,0,0,0,,,
25-02-2005,0,0,0,0,0,,,
26-02-2005,0,0,0,0,0,,,
27-02-2005,0,0,0,0,0,,,
28-02-2005,0,0,0,0,0,,,
1/3/2005,0,0,0,0,0,,,
2/3/2005,0,0,0,0,0,,,
3/3/2005,0,0,0,0,0,,,
4/3/2005,0,0,0,0,0,,,
5/3/2005,0,0,0,0,0,,,
6/3/2005,0,0,0,0,0,,,
7/3/2005,0,0,0,0,0,,,
8/3/2005,0,0,0,0,0,,,
9/3/2005,0,0,0,0,0,,,
10/3/2005,0,0,0,0,0,,,
11/3/2005,0,0,0,0,0,,,
12/3/2005,0,0,0,0,0,,,
13-03-2005,0,0,0,0,0,,,
14-03-2005,26,0,0,0,26,,,
15-03-2005,0,0,0,0,0,,,
16-03-2005,0,0,0,0,0,,,
17-03-2005,0,0,0,0,0,,,
18-03-2005,0,0,0,0,0,,,
19-03-2005,0,0,0,0,0,,,
20-03-2005,0,0,0,0,0,,,
21-03-2005,0,0,0,0,0,,,
22-03-2005,0,0,0,0,0,,,
23-03-2005,0,0,0,0,0,,,
24-03-2005,0,0,0,0,0,,,
25-03-2005,0,0,0,0,0,,,
26-03-2005,0,0,0,0,0,,,
27-03-2005,0,0,0,0,0,,,
28-03-2005,0,0,0,0,0,,,
29-03-2005,0,0,0,0,0,,,
30-03-2005,0,0,0,0,0,,,
31-03-2005,0,0,0,0,0,,,
1/4/2005,0,0,0,0,0,,,
2/4/2005,0,0,0,0,0,,,
3/4/2005,0,0,0,0,0,,,
4/4/2005,3,13,0,2,18,,,
5/4/2005,14,3,1,58,76,,,
6/4/2005,59,38,77,119,293,,,
7/4/2005,0,0,0,0,0,,,
8/4/2005,75,0,0,6,81,,,
9/4/2005,0,0,0,0,0,,,
10/4/2005,0,0,0,0,0,,,
11/4/2005,0,0,0,0,0,,,
12/4/2005,0,4,12.5,10,26.5,,,
13-04-2005,0,0,0,0,0,,,
14-04-2005,0,0,0,0,0,,,
15-04-2005,0,0,0,0,0,,,
16-04-2005,0,0,0,0,0,,,
17-04-2005,0,0,0,0,0,,,
18-04-2005,0,0,0,0,0,,,
19-04-2005,0,0,0,0,0,,,
20-04-2005,0,0,0,0,0,,,
21-04-2005,0,0,0,0,0,,,
22-04-2005,0,0,0,0,0,,,
23-04-2005,0,0,0,0,0,,,
24-04-2005,0,0,0,0,0,,,
25-04-2005,0,0,0,0,0,,,
26-04-2005,0,0,0,0,0,,,
27-04-2005,0,0,0,0,0,,,
28-04-2005,0,0,0,0,0,,,
29-04-2005,1,0,0,0,1,,,
30-04-2005,0,0,0,0,0,,,
1/5/2005,0,0,0,0,0,,,
2/5/2005,15,0,8,23,46,,,
3/5/2005,0,0,0,0,0,,,
4/5/2005,0,26,14,5,45,,,
5/5/2005,0,8,4,7,19,,,
6/5/2005,0,0,0,0,0,,,
7/5/2005,8,0,0,0,8,,,
8/5/2005,8,0,0,0,8,,,
9/5/2005,8,0,0,0,8,,,
10/5/2005,0,0,0,0,0,,,
11/5/2005,0,0,0,0,0,,,
12/5/2005,0,0,0,0,0,,,
13-05-2005,0,0,0,0,0,,,
14-05-2005,0,0,0,0,0,,,
15-05-2005,0,0,0,0,0,,,
16-05-2005,0,0,0,0,0,,,
17-05-2005,0,0,0,0,0,,,
18-05-2005,0,0,0,0,0,,,
19-05-2005,0,0,0,0,0,,,
20-05-2005,0,0,0,0,0,,,
21-05-2005,0,0,0,0,0,,,
22-05-2005,0,0,0,0,0,,,
23-05-2005,0,0,0,0,0,,,
24-05-2005,0,0,0,0,0,,,
25-05-2005,0,0,0,0,0,,,
26-05-2005,5,0,0,0,5,,,
27-05-2005,0,0,0,0,0,,,
28-05-2005,0,0,0,0,0,,,
29-05-2005,0,0,0,0,0,,,
30-05-2005,8,0,0,0,8,,,
31-05-2005,0,0,0,0,0,,,
1/6/2005,0,0,0,0,0,,,
2/6/2005,0,0,0,0,0,,,
3/6/2005,0,0,0,0,0,,,
4/6/2005,17,0,0,0,17,,,
5/6/2005,0,0,0,0,0,,,
6/6/2005,0,0,0,0,0,,,
7/6/2005,0,0,0,0,0,,,
8/6/2005,0,0,0,0,0,,,
9/6/2005,7,66,32,41,146,,,
10/6/2005,0,0,0,0,0,,,
11/6/2005,0,0,0,0,0,,,
12/6/2005,0,0,0,0,0,,,
13-06-2005,0,0,0,0,0,,,
14-06-2005,0,0,0,0,0,,,
15-06-2005,0,0,0,0,0,,,
16-06-2005,0,0,0,0,0,,,
17-06-2005,0,0,0,0,0,,,
18-06-2005,0,0,0,0,0,,,
19-06-2005,0,0,0,0,0,,,
20-06-2005,0,0,0,0,0,,,
21-06-2005,21,0,3,6,30,,,
22-06-2005,0,0,0,0,0,,,
23-06-2005,1,0,0,6,7,,,
24-06-2005,0,0,0,0,0,,,
25-06-2005,0,0,0,0,0,,,
26-06-2005,0,0,0,0,0,,,
27-06-2005,0,0,0,0,0,,,
28-06-2005,0,0,0,0,0,,,
29-06-2005,0,0,0,0,0,,,
30-06-2005,0,0,0,0,0,,,
1/7/2005,0,0,0,0,0,,,
2/7/2005,0,0,0,0,0,,,
3/7/2005,1,0,0,0,1,,,
4/7/2005,0,0,0,0,0,,,
5/7/2005,0,0,0,0,0,,,
6/7/2005,9,3,7,0,19,,,
7/7/2005,0,0,0,6,6,,,
8/7/2005,0,0,0,0,0,,,
9/7/2005,0,0,0,2,2,,,
10/7/2005,0,0,0,0,0,,,
11/7/2005,0,0,0,0,0,,,
12/7/2005,0,0,0,0,0,,,
13-07-2005,0,0,0,0,0,,,
14-07-2005,0,0,0,0,0,,,
15-07-2005,17,0,0,0,17,,,
16-07-2005,0,0,0,0,0,,,
17-07-2005,0,0,0,0,0,,,
18-07-2005,0,0,0,0,0,,,
19-07-2005,3,0,0,0,3,,,
20-07-2005,10,2,4,5,21,,,
21-07-2005,19,22,16,52,109,,,
22-07-2005,0,14,7,0,21,,,
23-07-2005,7,24,29,3,63,,,
24-07-2005,5,26,23,27,81,,,
25-07-2005,0,0,0,0,0,,,
26-07-2005,0,0,0,4,4,,,
27-07-2005,0,3,1,3,7,,,
28-07-2005,0,0,0,0,0,,,
29-07-2005,0,0,0,5,5,,,
30-07-2005,0,0,0,0,0,,,
31-07-2005,0,0,0,0,0,,,
1/8/2005,1,11,0,0,12,,,
2/8/2005,0,0,0,0,0,,,
3/8/2005,0,0,0,0,0,,,
4/8/2005,0,0,0,0,0,,,
5/8/2005,0,0,0,0,0,,,
6/8/2005,0,0,0,0,0,,,
7/8/2005,0,0,0,0,0,,,
8/8/2005,0,0,0,0,0,,,
9/8/2005,5,0,2,0,7,,,
10/8/2005,0,0,0,0,0,,,
11/8/2005,1,0,0,4,5,,,
12/8/2005,0,0,0,0,0,,,
13-08-2005,0,0,0,0,0,,,
14-08-2005,0,6,8,0,14,,,
15-08-2005,20,17,35,10,82,,,
16-08-2005,19,26,38,12,95,,,
17-08-2005,26,17,17,0,60,,,
18-08-2005,0,0,0,0,0,,,
19-08-2005,0,0,0,0,0,,,
20-08-2005,0,0,0,11,11,,,
21-08-2005,0,3,0,0,3,,,
22-08-2005,0,0,0,0,0,,,
23-08-2005,5,0,0,0,5,,,
24-08-2005,0,0,0,0,0,,,
25-08-2005,0,0,0,0,0,,,
26-08-2005,51,9,6,13,79,,,
27-08-2005,1,6,25,8,40,,,
28-08-2005,0,0,0,0,0,,,
29-08-2005,0,0,0,0,0,,,
30-08-2005,0,0,0,0,0,,,
31-08-2005,2,3,0,0,5,,,
1/9/2005,0,6,21,0,27,,,
2/9/2005,5,0,0,3,8,,,
3/9/2005,0,0,0,0,0,,,
4/9/2005,0,0,0,3,3,,,
5/9/2005,9,0,0,4,13,,,
6/9/2005,0,0,0,0,0,,,
7/9/2005,41,24,2,13,80,,,
8/9/2005,3,16,18,9,46,,,
9/9/2005,8,9,5,73,95,,,
10/9/2005,6,14,12,52,84,,,
11/9/2005,27,46,40,32,145,,,
12/9/2005,0,0,0,0,0,,,
13-09-2005,0,0,0,0,0,,,
14-09-2005,0,0,0,0,0,,,
15-09-2005,0,0,0,0,0,,,
16-09-2005,5,0,0,0,5,,,
17-09-2005,0,0,0,0,0,,,
18-09-2005,0,0,0,0,0,,,
19-09-2005,0,0,0,0,0,,,
20-09-2005,0,0,0,0,0,,,
21-09-2005,0,0,0,0,0,,,
22-09-2005,0,0,0,0,0,,,
23-09-2005,17,16,36,3,72,,,
24-09-2005,0,0,0,0,0,,,
25-09-2005,63,46,38,47,194,,,
26-09-2005,0,46,37,0,83,,,
27-09-2005,0,0,0,0,0,,,
28-09-2005,41,0,0,0,41,,,
29-09-2005,0,0,0,0,0,,,
30-09-2005,0,8,3,16,27,,,
1/10/2005,0,0,0,0,0,,,
2/10/2005,0,0,0,5,5,,,
3/10/2005,5,0,0,0,5,,,
4/10/2005,3,0,0,0,3,,,
5/10/2005,0,0,0,0,0,,,
6/10/2005,0,0,0,0,0,,,
7/10/2005,0,0,0,0,0,,,
8/10/2005,0,0,0,0,0,,,
9/10/2005,3,0,0,0,3,,,
10/10/2005,0,7,3,0,10,,,
11/10/2005,6,21,22,8,57,,,
12/10/2005,47,46,74,61,228,,,
13-10-2005,36,60,64,69,229,,,
14-10-2005,61,25,43,72,201,,,
15-10-2005,0,0,0,0,0,,,
16-10-2005,0,5,0,0,5,,,
17-10-2005,0,0,0,0,0,,,
18-10-2005,0,0,0,0,0,,,
19-10-2005,13,16,59,25,113,,,
20-10-2005,53,39,44,47,183,,,
21-10-2005,0,0,0,27,27,,,
22-10-2005,2,0,0,22,24,,,
23-10-2005,14,27,12,12,65,,,
24-10-2005,19,29,22,8,78,,,
25-10-2005,5,11,6,18,40,,,
26-10-2005,15,41,40,17,113,,,
27-10-2005,52,53,125,74,304,,,
28-10-2005,123,163,241,230,757,,,
29-10-2005,0,0,0,0,0,,,
30-10-2005,0,0,0,0,0,,,
31-10-2005,14,0,1,12,27,,,
1/11/2005,0,4,15,3,22,,,
2/11/2005,0,0,0,0,0,,,
3/11/2005,0,0,0,2,2,,,
4/11/2005,0,0,0,7,7,,,
5/11/2005,24,43,95,40,202,,,
6/11/2005,13,50,44,54,161,,,
7/11/2005,79,82,103,170,434,,,
8/11/2005,41,32,5,52,130,,,
9/11/2005,7,34,40,27,108,,,
10/11/2005,2,6,3,0,11,,,
11/11/2005,0,0,0,0,0,,,
12/11/2005,4,14,14,5,37,,,
13-11-2005,0,0,0,0,0,,,
14-11-2005,0,0,0,0,0,,,
15-11-2005,0,0,0,0,0,,,
16-11-2005,0,0,0,0,0,,,
17-11-2005,0,0,0,0,0,,,
18-11-2005,0,0,0,0,0,,,
19-11-2005,0,0,0,0,0,,,
20-11-2005,0,0,0,0,0,,,
21-11-2005,1,16,9,6,32,,,
22-11-2005,45,34,45,68,192,,,
23-11-2005,60,46,28,49,183,,,
